# dataset: GeoCSV 2.0,
# delimiter: ,
# SID: II_PFO_00_BH1,
# sample_count: 2400,
# sample_rate_hz: 20,
# start_time: 2018-09-22T08:19:19.019538Z,
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-09-22T08:19:29.969538Z,205
2018-09-22T08:19:30.019538Z,184
2018-09-22T08:19:30.069538Z,127
2018-09-22T08:19:30.119538Z,105
2018-09-22T08:19:30.169538Z,130
2018-09-22T08:19:30.219538Z,115
2018-09-22T08:19:30.269538Z,113
2018-09-22T08:19:30.319538Z,79
2018-09-22T08:19:30.369538Z,71
2018-09-22T08:19:30.419538Z,77
2018-09-22T08:19:30.469538Z,11
2018-09-22T08:19:30.519538Z,23
2018-09-22T08:19:30.569538Z,16
2018-09-22T08:19:30.619538Z,-11
2018-09-22T08:19:30.669538Z,15
2018-09-22T08:19:30.719538Z,10
2018-09-22T08:19:30.769538Z,-7
2018-09-22T08:19:30.819538Z,-22
2018-09-22T08:19:30.869538Z,-26
2018-09-22T08:19:30.919538Z,-49
2018-09-22T08:19:30.969538Z,-52
2018-09-22T08:19:31.019538Z,-17
2018-09-22T08:19:31.069538Z,-35
2018-09-22T08:19:31.119538Z,-51
2018-09-22T08:19:31.169538Z,-48
2018-09-22T08:19:31.219538Z,-35
2018-09-22T08:19:31.269538Z,-1
2018-09-22T08:19:31.319538Z,-25
2018-09-22T08:19:31.369538Z,-37
2018-09-22T08:19:31.419538Z,-14
2018-09-22T08:19:31.469538Z,25
2018-09-22T08:19:31.519538Z,56
2018-09-22T08:19:31.569538Z,28
2018-09-22T08:19:31.619538Z,45
2018-09-22T08:19:31.669538Z,113
2018-09-22T08:19:31.719538Z,172
2018-09-22T08:19:31.769538Z,193
2018-09-22T08:19:31.819538Z,208
2018-09-22T08:19:31.869538Z,227
2018-09-22T08:19:31.919538Z,233
2018-09-22T08:19:31.969538Z,279
2018-09-22T08:19:32.019538Z,314
2018-09-22T08:19:32.069538Z,326
2018-09-22T08:19:32.119538Z,381
2018-09-22T08:19:32.169538Z,391
2018-09-22T08:19:32.219538Z,388
2018-09-22T08:19:32.269538Z,428
2018-09-22T08:19:32.319538Z,463
2018-09-22T08:19:32.369538Z,493
2018-09-22T08:19:32.419538Z,477
2018-09-22T08:19:32.469538Z,480
2018-09-22T08:19:32.519538Z,493
2018-09-22T08:19:32.569538Z,486
2018-09-22T08:19:32.619538Z,493
2018-09-22T08:19:32.669538Z,480
2018-09-22T08:19:32.719538Z,502
2018-09-22T08:19:32.769538Z,519
2018-09-22T08:19:32.819538Z,496
2018-09-22T08:19:32.869538Z,511
2018-09-22T08:19:32.919538Z,513
2018-09-22T08:19:32.969538Z,528
2018-09-22T08:19:33.019538Z,549
2018-09-22T08:19:33.069538Z,531
2018-09-22T08:19:33.119538Z,526
2018-09-22T08:19:33.169538Z,514
2018-09-22T08:19:33.219538Z,547
2018-09-22T08:19:33.269538Z,572
